date,dl_traffic_volume_gb,connected_users
1/18/2024,781.34,329.27
1/19/2024,781.18,328.42
1/20/2024,771.67,335.1
1/21/2024,787.41,344.64
1/22/2024,750.01,326.87
1/23/2024,754.11,328.4
1/24/2024,784.39,329.99
1/25/2024,832.18,356.25
1/26/2024,788.95,344.96
1/27/2024,775.41,348.65
1/28/2024,778.7,351.19
1/29/2024,767.53,342.84
1/30/2024,758.11,335.09
1/31/2024,768.73,326.22
2/1/2024,633.41,333.82
2/2/2024,750.07,356.94
2/3/2024,771.02,357.43
2/4/2024,791.26,365.59
2/5/2024,729.39,347.21
2/6/2024,727.94,348.13
2/7/2024,723.3,351.43
2/8/2024,768.3,358.2
2/9/2024,791.54,352.23
2/11/2024,812.33,362.83
2/12/2024,771.02,339.36
2/13/2024,795.48,357.67
2/14/2024,793.24,355.7
2/15/2024,775.18,354.34
2/16/2024,736.6,357.52
2/17/2024,826.2,376.94
2/18/2024,802.4,376.22
2/19/2024,767.31,358.48
2/20/2024,773.61,356.36
2/21/2024,767.79,351.57
2/22/2024,756.28,353.94
2/23/2024,850.44,391.6
2/24/2024,823.87,381.78
2/25/2024,784.93,375.08
2/26/2024,724.82,350.95
2/27/2024,755.74,359.54
2/28/2024,761.42,359.77
2/29/2024,761.34,362.38
3/1/2024,775.82,369.78
3/2/2024,809.47,373.82
3/3/2024,836.57,401.51
3/4/2024,793.26,361.09
3/5/2024,752.67,363.5
3/6/2024,785.63,371.77
3/7/2024,777.55,365.43
3/8/2024,851.88,391.78
3/9/2024,846.49,383.95
3/10/2024,828.42,387.91
3/11/2024,771.96,364.08
3/12/2024,782.84,364.55
3/13/2024,794.77,367.39
3/14/2024,776.68,362.55
3/15/2024,831.22,370.57
3/16/2024,851.85,384.81
3/17/2024,856.5,391.98
3/18/2024,815.54,369.65
3/19/2024,804.89,366.42
3/20/2024,818.51,368.39
3/21/2024,782.53,363.01
3/22/2024,759.51,360.77
3/23/2024,823.47,373.14
3/24/2024,830.44,390.01
3/25/2024,786.35,373.23
3/26/2024,799.18,374.83
3/27/2024,811.91,377.12
3/28/2024,823.86,385.34
3/29/2024,842.37,390.18
3/30/2024,831.77,371.92
3/31/2024,895.05,396.75
4/1/2024,787.94,369.8
4/2/2024,782.85,368.31
4/3/2024,793.24,367.51
4/4/2024,780.59,358.54
4/5/2024,819.31,373.46
4/6/2024,842.54,374.72
4/7/2024,862.51,373.98
4/8/2024,837.55,370.53
4/9/2024,819.27,384.24
4/10/2024,819.42,406.02
4/11/2024,837.68,400.53
4/12/2024,907.09,427.39
4/13/2024,931.44,455.52
4/14/2024,906.83,441.62
4/15/2024,950.05,432.51
4/16/2024,936.9,415.59
4/17/2024,882.06,394.07
4/18/2024,851.06,399.65
4/19/2024,882.22,411.76
4/20/2024,907.24,407.55
4/21/2024,876.01,408.75
4/22/2024,799.28,388.9
4/23/2024,936.82,429.39
4/24/2024,877.78,404.92
4/25/2024,874.15,407.12
4/26/2024,643.5,377.99
4/27/2024,919.05,426.41
4/28/2024,911.95,413.88
4/29/2024,848.65,395.58
4/30/2024,885.64,386.14
5/1/2024,911.82,407.17
5/2/2024,855.48,389.43
5/3/2024,898.36,394.35
5/4/2024,902.2,411.29
5/5/2024,884.81,410.96
5/6/2024,893.9,405.77
5/7/2024,888.79,413.78
5/8/2024,876.81,404.96
5/9/2024,862.54,408.1
5/10/2024,873.49,404.47
5/11/2024,893.27,410.42
5/12/2024,887.42,415.74
5/13/2024,869.23,403.79
5/14/2024,845.57,387.44
5/15/2024,892.67,406.82
5/16/2024,894.13,412.71
5/17/2024,903.61,413.56
5/18/2024,898.24,416.68
5/19/2024,892.74,439.03
5/20/2024,922.74,419.7
5/21/2024,856.58,403.67
5/22/2024,878.07,411.9
5/23/2024,889.35,426.3
5/24/2024,970.09,441.52
5/25/2024,922.92,432.98
5/26/2024,923.09,439.25
5/27/2024,857.39,405.69
5/28/2024,833.38,402.31
5/29/2024,849.52,412.46
5/30/2024,871.28,423.94
5/31/2024,855.08,425.61
6/1/2024,870.29,421.24
6/2/2024,894.59,425.02
6/3/2024,878.51,416.71
6/4/2024,851.51,405.49
6/5/2024,846.25,397.86
6/6/2024,853.39,396.36
6/7/2024,880.31,408.84
6/8/2024,914.7,407.43
6/9/2024,946.75,435.34
6/10/2024,876.54,411.69
6/11/2024,911.96,417.17
6/12/2024,890.57,409.09
6/13/2024,891.53,416.41
6/14/2024,882.06,416.25
6/15/2024,907.55,431.46
6/16/2024,906.57,451.3
6/17/2024,927.09,470.15
6/18/2024,897.79,437.48
6/19/2024,817.51,429.83
6/20/2024,858.7,428.95
6/21/2024,787.4,404.98
6/22/2024,917.87,446.43
6/23/2024,919.73,451.89
6/24/2024,878.05,422.69
6/25/2024,875.8,419.97
6/26/2024,925.67,430.6
6/27/2024,914.41,436.65
6/28/2024,872.07,415.21
6/29/2024,919.63,430.25
6/30/2024,904.63,428.2
7/1/2024,863.94,405.07
7/2/2024,871.89,409.19
7/5/2024,853.98,414.19
7/6/2024,899.47,425.24
7/7/2024,921.91,442.28
7/8/2024,873.51,429.98
7/9/2024,931.76,444.8
7/10/2024,906.56,433.19
7/11/2024,892.57,428.98
7/12/2024,898.98,431.96
7/13/2024,907.43,437.26
7/14/2024,898.96,435.06
7/15/2024,855.07,415.29
7/16/2024,877.29,411.01
7/17/2024,853.95,419.74
7/18/2024,843.2,417.61
7/19/2024,823.04,424.39
7/20/2024,916.94,455.96
7/21/2024,864.45,438
7/22/2024,796.09,410.58
7/23/2024,840.92,414.57
7/24/2024,807.41,407.72
7/25/2024,853.8,413.57
7/26/2024,822.88,419.98
7/27/2024,885.03,443.46
7/28/2024,912.54,441.01
7/29/2024,843.4,409.95
7/30/2024,868.78,418.52
7/31/2024,840.9,427.7
8/1/2024,866.49,422.7
8/2/2024,949.8,426.55
8/3/2024,866.74,420.71
8/4/2024,877.63,410.97
8/5/2024,754.83,367.65
8/6/2024,858.02,420.83
8/8/2024,834.71,419.73
8/9/2024,882.59,431.66
8/10/2024,893.82,443.02
8/11/2024,834.07,417.2
8/12/2024,837.74,411.34
8/13/2024,841.23,416.01
8/14/2024,862.21,413.49
8/15/2024,877.97,411.24
8/16/2024,892.31,434.9
8/17/2024,905.95,445.31
8/18/2024,930.45,452.05
8/19/2024,983.67,474.51
8/20/2024,925.18,445.37
8/21/2024,939.13,454.46
8/22/2024,916.62,447.06
8/23/2024,924.94,457.27
8/24/2024,872.5,454.72
8/25/2024,887.43,462.81
8/26/2024,827.48,437.24
8/27/2024,862.93,432.79
8/28/2024,857.91,430.28
8/29/2024,944.65,442.28
8/30/2024,937.21,439.28
8/31/2024,938.78,439.72
9/1/2024,958.95,444.51
9/2/2024,925.19,431.91
9/3/2024,911.25,436.42
9/4/2024,962.69,434.54
9/5/2024,959.27,435.05
9/6/2024,970.67,438.79
9/7/2024,1019.8,456.34
9/8/2024,989.05,452.02
9/9/2024,931.67,429.85
9/10/2024,969.86,432.15
9/11/2024,830.2,419.06
9/12/2024,933.71,434.8
9/13/2024,949.49,436.84
9/14/2024,978.01,441.83
9/15/2024,974.81,451.55
9/16/2024,1014.73,446.34
9/17/2024,1069.36,471.58
9/18/2024,958.11,446.28
9/19/2024,969.88,444.61
9/20/2024,990.59,459.33
9/21/2024,870.12,406.54
9/22/2024,1226.55,562.68
9/23/2024,1007.73,467.62
9/24/2024,960.19,453.66
9/25/2024,938.11,438.17
9/26/2024,986.33,439.78
9/27/2024,954.23,443.88
9/28/2024,1006.08,467.61
9/29/2024,970.62,461.34
9/30/2024,927.57,424.79
10/1/2024,866.05,411.79
10/2/2024,941.46,431.81
10/3/2024,957.75,439.82
10/4/2024,971.62,448.65
10/5/2024,1006.09,458.54
10/6/2024,994.31,460.77
10/7/2024,873.4,420.6
10/8/2024,894.42,424.61
10/9/2024,907.1,427.61
10/10/2024,907.37,425.17
10/11/2024,943.27,440.86
10/12/2024,936.56,447.44
10/13/2024,1004.41,451.58
10/14/2024,928.12,440.45
10/15/2024,963.69,444.38
10/16/2024,970.33,450.25
10/17/2024,1063.95,476.26
10/18/2024,955.23,449.37
10/19/2024,972.48,448.53
10/21/2024,901.93,438.53
10/22/2024,914.7,435.14
10/23/2024,929.59,427.59
10/24/2024,941.11,440.4
10/25/2024,963.14,453.41
10/26/2024,993.6,455.19
10/27/2024,1009.17,462.53
10/28/2024,927.15,441.99
10/29/2024,915.49,440.7
10/30/2024,917.44,444.25
10/31/2024,939.54,434.49
11/1/2024,915.44,423.45
11/2/2024,963.01,432.8
11/3/2024,972.74,449.83
11/4/2024,941.04,430.49
11/5/2024,915.75,434.56
11/6/2024,942.91,439.05
11/7/2024,959.39,441.17
11/8/2024,1006.01,442.42
11/9/2024,996.93,452.59
11/10/2024,1002.15,478.01
11/11/2024,958.62,450.32
11/12/2024,986.71,456.23
11/13/2024,1087.73,477.75
11/14/2024,1137.81,513.88
11/15/2024,1177.27,533.48
11/16/2024,1075.71,495.71
11/17/2024,1115,494.67
11/18/2024,995.09,451.77
11/19/2024,930.92,447.51
11/20/2024,932.08,442.89
11/21/2024,968.92,451.96
11/22/2024,977.14,446.43
11/23/2024,1006.39,455.02
11/24/2024,1033.44,473.95
11/25/2024,985.66,451.22
11/26/2024,969.92,469.88
11/27/2024,968.68,469.5
11/28/2024,1045.78,459.2
11/29/2024,1063.73,444.52
11/30/2024,1008.49,439.32
12/1/2024,1035.27,451.52
12/2/2024,993.6,437.85
12/3/2024,1033.61,449.21
12/4/2024,1028.23,448.33
12/5/2024,1037.55,450.88
12/6/2024,1068.2,458.2
12/7/2024,1054.83,454.15
12/8/2024,1061.51,469.17
12/9/2024,1049.43,453.49
12/10/2024,1077.33,461.04
12/11/2024,1101.11,468.93
12/12/2024,1082.62,442.6
12/13/2024,1029.49,441.32
12/14/2024,1150.69,474.98
